0	1	2	3	5	7	8	9	10	11	12	13	14	15	16	17	19	20	21	24	25	26	27	28	29	30	31	32	34	35	36	37	39	
2	14	8	1	15	10	9	4	9	8	2	2	8	11	12	9	2	2	1	10	5	14	5	2	7	3	9	2	1	9	5	11	2	
0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	1	
-1	0	1	3	1	1	1	2	1	1	-1	-1	2	1	1	1	3	2	2	1	2	1	2	-1	2	3	1	-1	3	1	2	1	-1	
-1	1	0	2	1	2	2	3	1	1	-1	-1	3	1	2	2	4	2	3	1	3	1	2	-1	1	4	2	-1	3	2	3	2	-1	
-1	3	2	0	3	4	4	5	3	2	-1	-1	4	2	3	3	5	3	4	2	4	2	2	-1	1	5	3	-1	4	3	4	3	-1	
-1	1	1	3	0	1	1	2	1	1	-1	-1	2	1	1	1	3	2	2	1	2	1	1	-1	2	3	1	-1	3	1	2	1	-1	
-1	1	2	4	1	0	1	1	2	2	-1	-1	1	2	1	1	2	3	3	2	2	2	2	-1	3	2	1	-1	4	2	1	1	-1	
-1	1	2	4	1	1	0	2	2	2	-1	-1	1	2	1	2	2	3	2	2	1	2	2	-1	3	2	1	-1	4	1	2	1	-1	
-1	2	3	5	2	1	2	0	3	3	-1	-1	1	3	2	2	2	4	4	3	2	3	3	-1	4	1	2	-1	5	3	1	2	-1	
-1	1	1	3	1	2	2	3	0	1	-1	-1	3	1	2	2	4	2	2	1	3	1	2	-1	2	4	2	-1	3	1	3	1	-1	
-1	1	1	2	1	2	2	3	1	0	-1	-1	3	1	2	2	4	2	3	1	3	1	2	-1	1	4	2	-1	3	2	3	2	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	
-1	2	3	4	2	1	1	1	3	3	-1	-1	0	3	1	2	1	4	3	3	1	2	3	-1	3	1	2	-1	5	2	1	2	-1	
-1	1	1	2	1	2	2	3	1	1	-1	-1	3	0	2	2	4	2	3	1	3	1	1	-1	1	4	1	-1	3	2	3	1	-1	
-1	1	2	3	1	1	1	2	2	2	-1	-1	1	2	0	1	2	3	2	2	1	1	2	-1	2	2	1	-1	4	1	1	1	-1	
-1	1	2	3	1	1	2	2	2	2	-1	-1	2	2	1	0	3	3	2	2	2	1	2	-1	2	3	1	-1	4	1	1	1	-1	
-1	3	4	5	3	2	2	2	4	4	-1	-1	1	4	2	3	0	5	4	4	1	3	4	-1	4	2	3	-1	-1	3	2	3	-1	
-1	2	2	3	2	3	3	4	2	2	-1	-1	4	2	3	3	5	0	4	1	4	2	2	-1	2	5	3	-1	1	3	4	3	-1	
-1	2	3	4	2	3	2	4	2	3	-1	-1	3	3	2	2	4	4	0	3	3	2	3	-1	3	4	3	-1	5	1	3	2	-1	
-1	1	1	2	1	2	2	3	1	1	-1	-1	3	1	2	2	4	1	3	0	3	1	1	-1	1	4	2	-1	2	2	3	2	-1	
-1	2	3	4	2	2	1	2	3	3	-1	-1	1	3	1	2	1	4	3	3	0	2	3	-1	3	1	2	-1	5	2	2	2	-1	
-1	1	1	2	1	2	2	3	1	1	-1	-1	2	1	1	1	3	2	2	1	2	0	1	-1	1	3	1	-1	3	1	2	1	-1	
-1	2	2	2	1	2	2	3	2	2	-1	-1	3	1	2	2	4	2	3	1	3	1	0	-1	1	4	2	-1	3	2	3	2	-1	
1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	1	
-1	2	1	1	2	3	3	4	2	1	-1	-1	3	1	2	2	4	2	3	1	3	1	1	-1	0	4	2	-1	3	2	3	2	-1	
-1	3	4	5	3	2	2	1	4	4	-1	-1	1	4	2	3	2	5	4	4	1	3	4	-1	4	0	3	-1	-1	3	2	3	-1	
-1	1	2	3	1	1	1	2	2	2	-1	-1	2	1	1	1	3	3	3	2	2	1	2	-1	2	3	0	-1	4	2	2	1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	
-1	3	3	4	3	4	4	5	3	3	-1	-1	5	3	4	4	-1	1	5	2	5	3	3	-1	3	-1	4	-1	0	4	5	4	-1	
-1	1	2	3	1	2	1	3	1	2	-1	-1	2	2	1	1	3	3	1	2	2	1	2	-1	2	3	2	-1	4	0	2	1	-1	
-1	2	3	4	2	1	2	1	3	3	-1	-1	1	3	1	1	2	4	3	3	2	2	3	-1	3	2	2	-1	5	2	0	2	-1	
-1	1	2	3	1	1	1	2	1	2	-1	-1	2	1	1	1	3	3	2	2	2	1	2	-1	2	3	1	-1	4	1	2	0	-1	
1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	0	
