0	1	2	3	5	9	10	11	12	13	14	15	16	17	18	19	20	21	22	24	25	26	27	28	29	30	31	34	35	37	39	
8	10	14	9	11	5	1	14	2	2	3	11	4	4	5	1	2	2	2	11	5	10	5	6	14	4	9	2	4	13	9	
0	1	1	2	2	-1	3	1	2	-1	-1	1	-1	-1	-1	3	-1	-1	-1	2	-1	2	2	1	1	-1	2	-1	2	1	1	
1	0	1	2	1	-1	3	1	2	-1	-1	1	-1	-1	-1	3	-1	-1	-1	1	-1	2	2	2	1	-1	1	-1	2	1	1	
1	1	0	1	1	-1	2	1	2	-1	-1	1	-1	-1	-1	3	-1	-1	-1	1	-1	1	2	1	1	-1	1	-1	1	1	1	
2	2	1	0	1	-1	2	1	3	-1	-1	2	-1	-1	-1	4	-1	-1	-1	1	-1	1	1	2	1	-1	2	-1	1	1	2	
2	1	1	1	0	-1	2	1	3	-1	-1	1	-1	-1	-1	4	-1	-1	-1	1	-1	1	1	2	1	-1	1	-1	2	1	2	
-1	-1	-1	-1	-1	0	-1	-1	-1	1	1	-1	2	2	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	3	-1	-1	-1	
3	3	2	2	2	-1	0	2	4	-1	-1	3	-1	-1	-1	5	-1	-1	-1	2	-1	1	2	3	2	-1	2	-1	3	2	3	
1	1	1	1	1	-1	2	0	2	-1	-1	1	-1	-1	-1	3	-1	-1	-1	1	-1	1	2	1	1	-1	1	-1	1	1	1	
2	2	2	3	3	-1	4	2	0	-1	-1	2	-1	-1	-1	1	-1	-1	-1	3	-1	3	3	2	2	-1	3	-1	3	2	1	
-1	-1	-1	-1	-1	1	-1	-1	-1	0	1	-1	3	3	2	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	2	-1	4	-1	-1	-1	
-1	-1	-1	-1	-1	1	-1	-1	-1	1	0	-1	3	3	2	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	1	-1	4	-1	-1	-1	
1	1	1	2	1	-1	3	1	2	-1	-1	0	-1	-1	-1	3	-1	-1	-1	1	-1	2	2	1	1	-1	1	-1	2	1	1	
-1	-1	-1	-1	-1	2	-1	-1	-1	3	3	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	2	-1	1	-1	-1	-1	
-1	-1	-1	-1	-1	2	-1	-1	-1	3	3	-1	1	0	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	2	-1	1	-1	-1	-1	
-1	-1	-1	-1	-1	1	-1	-1	-1	2	2	-1	1	1	0	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	2	-1	-1	-1	
3	3	3	4	4	-1	5	3	1	-1	-1	3	-1	-1	-1	0	-1	-1	-1	4	-1	4	4	3	3	-1	4	-1	4	3	2	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
2	1	1	1	1	-1	2	1	3	-1	-1	1	-1	-1	-1	4	-1	-1	-1	0	-1	1	1	2	1	-1	1	-1	2	1	2	
-1	-1	-1	-1	-1	1	-1	-1	-1	2	2	-1	1	1	1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	1	-1	2	-1	-1	-1	
2	2	1	1	1	-1	1	1	3	-1	-1	2	-1	-1	-1	4	-1	-1	-1	1	-1	0	1	2	1	-1	1	-1	2	1	2	
2	2	2	1	1	-1	2	2	3	-1	-1	2	-1	-1	-1	4	-1	-1	-1	1	-1	1	0	2	1	-1	2	-1	2	2	2	
1	2	1	2	2	-1	3	1	2	-1	-1	1	-1	-1	-1	3	-1	-1	-1	2	-1	2	2	0	1	-1	2	-1	2	2	1	
1	1	1	1	1	-1	2	1	2	-1	-1	1	-1	-1	-1	3	-1	-1	-1	1	-1	1	1	1	0	-1	1	-1	2	1	1	
-1	-1	-1	-1	-1	1	-1	-1	-1	2	1	-1	2	2	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	0	-1	3	-1	-1	-1	
2	1	1	2	1	-1	2	1	3	-1	-1	1	-1	-1	-1	4	-1	-1	-1	1	-1	1	2	2	1	-1	0	-1	2	1	2	
-1	-1	-1	-1	-1	3	-1	-1	-1	4	4	-1	1	1	2	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	3	-1	0	-1	-1	-1	
2	2	1	1	2	-1	3	1	3	-1	-1	2	-1	-1	-1	4	-1	-1	-1	2	-1	2	2	2	2	-1	2	-1	0	1	2	
1	1	1	1	1	-1	2	1	2	-1	-1	1	-1	-1	-1	3	-1	-1	-1	1	-1	1	2	2	1	-1	1	-1	1	0	1	
1	1	1	2	2	-1	3	1	1	-1	-1	1	-1	-1	-1	2	-1	-1	-1	2	-1	2	2	1	1	-1	2	-1	2	1	0	
