0	1	3	4	5	6	7	8	9	10	11	12	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	32	33	34	35	36	37	38	39	
3	25	31	30	30	29	30	1	31	27	30	28	29	29	27	30	28	8	29	8	29	30	29	26	22	26	14	29	27	29	30	29	19	19	7	27	3	
0	3	2	2	2	2	3	2	2	2	3	3	2	2	3	2	3	3	3	4	3	2	2	3	2	3	2	2	3	2	2	3	1	3	1	3	1	
3	0	1	1	1	1	1	4	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	2	1	2	1	3	
2	1	0	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	
2	1	1	0	1	1	1	3	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	
2	1	1	1	0	1	1	3	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	2	
2	1	1	1	1	0	1	3	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	2	
3	1	1	1	1	1	0	4	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	3	
2	4	3	3	3	3	4	0	3	3	4	4	3	3	4	3	4	4	4	5	4	3	3	4	3	4	3	3	4	3	3	4	2	4	3	4	1	
2	1	1	1	1	1	1	3	0	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	
2	2	1	1	1	1	1	3	1	0	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	1	2	
3	1	1	1	1	1	1	4	1	1	0	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	3	
3	1	1	1	1	1	1	4	1	1	1	0	1	1	1	1	1	2	1	1	1	1	1	1	2	1	2	1	1	1	1	1	2	1	2	1	3	
2	1	1	1	1	1	1	3	1	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	2	
2	1	1	1	1	1	1	3	1	1	1	1	1	0	1	1	1	2	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	2	
3	2	1	1	1	1	1	4	1	1	1	1	1	1	0	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	3	
2	1	1	1	1	1	1	3	1	1	1	1	1	1	1	0	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	
3	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	0	2	1	2	1	1	1	1	1	1	2	1	1	1	1	1	2	1	2	1	3	
3	1	1	2	1	1	2	4	1	2	2	2	1	2	2	2	2	0	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	
3	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	2	1	2	1	1	1	1	1	2	1	2	1	3	
4	1	2	2	2	2	1	5	2	2	1	1	2	2	2	2	2	2	1	0	1	2	2	2	2	2	2	2	2	2	2	2	3	1	3	1	4	
3	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	2	1	2	1	1	1	1	1	2	1	2	1	3	
2	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	2	1	2	1	0	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	
2	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	2	1	2	1	1	0	1	1	1	1	1	1	1	1	1	1	2	1	2	2	
3	2	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	0	1	1	2	1	1	1	1	1	2	2	2	1	3	
2	2	1	1	2	2	1	3	1	1	1	2	2	1	1	1	1	2	2	2	2	1	1	1	0	1	1	1	1	1	1	1	1	2	1	2	2	
3	2	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	0	2	1	1	1	1	1	2	2	2	1	3	
2	2	1	1	1	2	1	3	1	2	1	2	2	2	1	1	2	2	2	2	2	1	1	2	1	2	0	2	2	2	1	1	1	2	2	2	2	
2	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	2	0	1	1	1	1	1	1	2	1	2	
3	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	2	1	0	1	1	1	2	2	2	1	3	
2	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	2	1	1	0	1	1	1	1	2	1	2	
2	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	0	1	1	1	2	1	2	
3	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	0	2	1	2	1	3	
1	2	1	1	1	1	2	2	1	1	2	2	1	1	2	1	2	2	2	3	2	1	1	2	1	2	1	1	2	1	1	2	0	2	1	2	1	
3	1	1	1	1	1	1	4	2	2	1	1	1	2	2	2	1	2	1	1	1	1	2	2	2	2	2	1	2	1	1	1	2	0	3	1	3	
1	2	2	2	2	2	2	3	1	2	2	2	2	1	2	1	2	2	2	3	2	2	1	2	1	2	2	2	2	2	2	2	1	3	0	2	2	
3	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	2	1	1	1	1	1	2	1	2	0	3	
1	3	2	2	2	2	3	1	2	2	3	3	2	2	3	2	3	3	3	4	3	2	2	3	2	3	2	2	3	2	2	3	1	3	2	3	0	
