0	1	2	3	4	5	6	7	8	9	10	11	12	15	16	18	19	20	21	22	23	24	25	26	27	28	30	31	32	33	34	36	38	39	
2	14	3	5	1	9	2	1	1	9	4	11	10	3	2	7	1	14	2	1	8	9	14	9	4	15	8	2	2	12	2	9	1	1	
0	-1	1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	
-1	0	-1	2	3	1	3	-1	-1	1	1	1	1	2	2	1	4	1	2	3	1	1	1	1	2	1	2	2	3	1	-1	1	-1	4	
1	-1	0	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	
-1	2	-1	0	3	1	1	-1	-1	2	3	2	2	3	3	2	2	2	3	4	3	2	2	2	2	1	2	1	1	2	-1	2	-1	2	
-1	3	-1	3	0	2	4	-1	-1	3	3	3	3	4	3	3	5	2	2	4	3	3	2	2	3	2	1	3	4	3	-1	2	-1	5	
-1	1	-1	1	2	0	2	-1	-1	2	2	2	2	3	2	2	3	1	2	3	2	2	1	1	2	1	1	1	2	2	-1	1	-1	3	
-1	3	-1	1	4	2	0	-1	-1	3	4	3	3	4	4	3	3	3	4	5	4	3	3	3	3	2	3	2	2	3	-1	3	-1	1	
-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	
2	-1	1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	
-1	1	-1	2	3	2	3	-1	-1	0	2	1	1	2	3	1	4	1	3	4	2	2	1	2	1	1	2	3	3	1	-1	2	-1	4	
-1	1	-1	3	3	2	4	-1	-1	2	0	2	2	3	3	2	5	1	3	4	1	1	2	2	3	2	2	3	4	2	-1	2	-1	5	
-1	1	-1	2	3	2	3	-1	-1	1	2	0	1	1	3	1	4	1	3	4	1	1	1	2	2	1	2	3	3	1	-1	2	-1	4	
-1	1	-1	2	3	2	3	-1	-1	1	2	1	0	1	3	2	4	1	3	4	1	2	1	2	1	1	2	3	3	1	-1	2	-1	4	
-1	2	-1	3	4	3	4	-1	-1	2	3	1	1	0	4	2	5	2	4	5	2	2	2	3	2	2	3	4	4	1	-1	3	-1	5	
-1	2	-1	3	3	2	4	-1	-1	3	3	3	3	4	0	2	5	2	3	1	3	3	2	2	3	2	2	3	4	3	-1	1	-1	5	
-1	1	-1	2	3	2	3	-1	-1	1	2	1	2	2	2	0	4	2	3	3	2	2	1	2	2	1	2	3	3	1	-1	1	-1	4	
-1	4	-1	2	5	3	3	-1	-1	4	5	4	4	5	5	4	0	4	5	-1	5	4	4	4	4	3	4	3	1	4	-1	4	-1	4	
-1	1	-1	2	2	1	3	-1	-1	1	1	1	1	2	2	2	4	0	2	3	1	1	1	1	2	1	1	2	3	1	-1	1	-1	4	
-1	2	-1	3	2	2	4	-1	-1	3	3	3	3	4	3	3	5	2	0	4	3	2	2	1	3	2	1	3	4	3	-1	2	-1	5	
-1	3	-1	4	4	3	5	-1	-1	4	4	4	4	5	1	3	-1	3	4	0	4	4	3	3	4	3	3	4	5	4	-1	2	-1	-1	
-1	1	-1	3	3	2	4	-1	-1	2	1	1	1	2	3	2	5	1	3	4	0	1	1	2	2	2	2	3	4	1	-1	2	-1	5	
