0	1	2	3	5	7	8	9	10	11	12	13	14	15	16	17	18	19	20	23	24	25	26	27	28	29	30	31	32	34	35	36	37	39	
6	14	12	1	14	4	5	3	10	12	1	1	3	13	7	4	1	1	1	1	12	1	12	8	2	11	3	8	1	2	10	3	13	4	
0	2	1	2	2	3	3	-1	2	1	-1	-1	-1	1	3	4	-1	-1	-1	-1	2	-1	2	2	1	1	-1	2	-1	5	2	5	2	1	
2	0	1	3	1	1	1	4	1	1	-1	-1	4	1	1	2	-1	-1	4	-1	1	-1	1	1	3	2	5	1	-1	3	1	3	1	2	
1	1	0	2	1	2	2	5	1	1	-1	-1	5	1	2	3	-1	-1	5	-1	1	-1	1	2	2	1	-1	2	-1	4	1	4	1	1	
2	3	2	0	2	4	3	-1	2	2	-1	-1	-1	2	3	4	-1	-1	-1	-1	2	-1	2	2	3	1	-1	3	-1	5	3	5	3	2	
2	1	1	2	0	2	1	4	1	1	-1	-1	4	1	1	2	-1	-1	4	-1	1	-1	1	1	3	1	5	1	-1	3	1	3	1	2	
3	1	2	4	2	0	2	3	2	2	-1	-1	3	2	1	1	-1	-1	3	-1	2	5	2	2	4	3	4	2	-1	2	2	2	1	3	
3	1	2	3	1	2	0	4	2	2	-1	-1	4	2	1	2	-1	-1	4	-1	2	-1	2	2	4	2	5	2	-1	3	1	3	1	3	
-1	4	5	-1	4	3	4	0	5	5	-1	-1	1	5	3	2	-1	-1	4	-1	5	2	5	5	-1	5	1	4	-1	3	5	1	4	-1	
2	1	1	2	1	2	2	5	0	1	-1	-1	5	1	2	3	-1	-1	5	-1	1	-1	1	2	3	1	-1	2	-1	4	1	4	1	2	
1	1	1	2	1	2	2	5	1	0	-1	-1	5	1	2	3	-1	-1	5	-1	1	-1	1	1	2	1	-1	2	-1	4	1	4	1	2	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	4	5	-1	4	3	4	1	5	5	-1	-1	0	5	3	2	-1	-1	4	-1	5	2	5	5	-1	5	1	4	-1	3	5	1	4	-1	
1	1	1	2	1	2	2	5	1	1	-1	-1	5	0	2	3	-1	-1	5	-1	1	-1	1	1	2	1	-1	1	-1	4	1	4	1	2	
3	1	2	3	1	1	1	3	2	2	-1	-1	3	2	0	1	-1	-1	3	-1	2	5	2	2	4	2	4	1	-1	2	2	2	1	3	
4	2	3	4	2	1	2	2	3	3	-1	-1	2	3	1	0	-1	-1	2	-1	3	4	3	3	5	3	3	2	-1	1	3	1	2	4	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	4	5	-1	4	3	4	4	5	5	-1	-1	4	5	3	2	-1	-1	0	-1	5	-1	5	5	-1	5	5	4	-1	1	5	3	4	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
2	1	1	2	1	2	2	5	1	1	-1	-1	5	1	2	3	-1	-1	5	-1	0	-1	1	1	3	1	-1	1	-1	4	1	4	1	2	
-1	-1	-1	-1	-1	5	-1	2	-1	-1	-1	-1	2	-1	5	4	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	1	-1	-1	5	-1	3	-1	-1	
2	1	1	2	1	2	2	5	1	1	-1	-1	5	1	2	3	-1	-1	5	-1	1	-1	0	1	3	1	-1	1	-1	4	1	4	1	2	
2	1	2	2	1	2	2	5	2	1	-1	-1	5	1	2	3	-1	-1	5	-1	1	-1	1	0	3	1	-1	1	-1	4	2	4	2	2	
1	3	2	3	3	4	4	-1	3	2	-1	-1	-1	2	4	5	-1	-1	-1	-1	3	-1	3	3	0	2	-1	3	-1	-1	3	-1	3	1	
1	2	1	1	1	3	2	5	1	1	-1	-1	5	1	2	3	-1	-1	5	-1	1	-1	1	1	2	0	-1	2	-1	4	2	4	2	1	
-1	5	-1	-1	5	4	5	1	-1	-1	-1	-1	1	-1	4	3	-1	-1	5	-1	-1	1	-1	-1	-1	-1	0	5	-1	4	-1	2	5	-1	
2	1	2	3	1	2	2	4	2	2	-1	-1	4	1	1	2	-1	-1	4	-1	1	-1	1	1	3	2	5	0	-1	3	2	3	1	3	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	
5	3	4	5	3	2	3	3	4	4	-1	-1	3	4	2	1	-1	-1	1	-1	4	5	4	4	-1	4	4	3	-1	0	4	2	3	5	
2	1	1	3	1	2	1	5	1	1	-1	-1	5	1	2	3	-1	-1	5	-1	1	-1	1	2	3	2	-1	2	-1	4	0	4	1	2	
5	3	4	5	3	2	3	1	4	4	-1	-1	1	4	2	1	-1	-1	3	-1	4	3	4	4	-1	4	2	3	-1	2	4	0	3	5	
2	1	1	3	1	1	1	4	1	1	-1	-1	4	1	1	2	-1	-1	4	-1	1	-1	1	2	3	2	5	1	-1	3	1	3	0	2	
1	2	1	2	2	3	3	-1	2	2	-1	-1	-1	2	3	4	-1	-1	-1	-1	2	-1	2	2	1	1	-1	3	-1	5	2	5	2	0	
