0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	
37	37	24	37	37	38	37	38	28	38	33	37	35	1	36	37	34	36	32	34	38	30	38	36	37	35	37	32	37	37	32	16	27	35	35	38	37	35	37	33	
0	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	
1	0	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	
1	1	0	1	1	1	1	1	1	1	2	1	2	2	2	1	2	2	2	1	1	1	1	2	1	2	1	2	1	1	2	1	2	2	2	1	1	2	1	1	
1	1	1	0	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	
1	1	1	1	0	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	
1	1	1	1	1	0	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	1	1	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	
1	1	1	1	1	1	1	0	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	1	1	1	1	1	1	1	0	1	2	1	2	2	1	1	2	1	2	1	1	1	1	1	1	2	1	2	1	1	2	1	2	2	2	1	1	1	1	1	
1	1	1	1	1	1	1	1	1	0	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	1	2	1	1	1	1	1	2	1	0	1	1	3	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	
1	1	1	1	1	1	1	1	1	1	1	0	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	
1	1	2	1	1	1	1	1	2	1	1	1	0	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	
2	2	2	3	3	2	2	2	2	2	3	3	3	0	3	3	3	3	3	2	2	3	2	3	3	3	3	3	2	3	3	1	3	3	3	2	2	3	3	2	
1	1	2	1	1	1	1	1	1	1	1	1	1	3	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	
1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	
1	1	2	1	1	1	1	1	2	1	1	1	1	3	1	1	0	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	
1	1	2	1	1	1	1	1	1	1	1	1	1	3	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	
1	1	2	1	1	1	1	1	2	1	1	1	1	3	1	1	1	1	0	2	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	
1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	0	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1	1	1	1	1	1	
1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	1	1	1	1	1	1	1	1	1	2	1	1	3	1	1	2	1	2	1	1	0	1	1	1	1	1	2	1	1	2	2	2	1	1	1	1	2	1	1	
1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
