0	1	2	3	5	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	24	25	26	27	28	29	30	31	34	35	37	39	
6	10	13	2	12	1	4	5	12	1	2	3	12	3	4	3	1	3	4	1	12	2	12	5	2	11	5	8	4	9	10	6	
0	2	1	2	2	3	-1	2	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	2	-1	2	2	1	1	-1	2	-1	2	2	1	
2	0	1	2	1	2	-1	2	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	2	3	1	-1	1	-1	1	1	2	
1	1	0	2	1	2	-1	1	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	2	2	1	-1	1	-1	1	1	1	
2	2	2	0	2	4	-1	3	2	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	2	-1	2	1	3	1	-1	3	-1	3	3	2	
2	1	1	2	0	2	-1	1	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	1	3	1	-1	1	-1	1	1	2	
3	2	2	4	2	0	-1	3	2	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	2	-1	2	3	4	3	-1	3	-1	1	2	3	
-1	-1	-1	-1	-1	-1	0	-1	-1	-1	2	1	-1	3	3	1	-1	3	2	5	-1	1	-1	-1	-1	-1	1	-1	4	-1	-1	-1	
2	2	1	3	1	3	-1	0	2	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	1	-1	1	2	3	2	-1	2	-1	2	1	2	
1	1	1	2	1	2	-1	2	0	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	2	2	1	-1	1	-1	1	1	1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	2	-1	-1	-1	0	2	-1	4	4	1	-1	4	3	-1	-1	2	-1	-1	-1	-1	1	-1	5	-1	-1	-1	
-1	-1	-1	-1	-1	-1	1	-1	-1	-1	2	0	-1	2	2	2	-1	2	1	4	-1	2	-1	-1	-1	-1	1	-1	3	-1	-1	-1	
1	1	1	2	1	2	-1	2	1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	1	-1	1	2	2	1	-1	1	-1	1	1	1	
-1	-1	-1	-1	-1	-1	3	-1	-1	-1	4	2	-1	0	1	4	-1	2	1	2	-1	4	-1	-1	-1	-1	3	-1	1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	3	-1	-1	-1	4	2	-1	1	0	4	-1	1	1	2	-1	4	-1	-1	-1	-1	3	-1	1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	1	-1	-1	-1	1	2	-1	4	4	0	-1	4	3	-1	-1	2	-1	-1	-1	-1	1	-1	5	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	3	-1	-1	-1	4	2	-1	2	1	4	-1	0	1	2	-1	4	-1	-1	-1	-1	3	-1	1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	2	-1	-1	-1	3	1	-1	1	1	3	-1	1	0	3	-1	3	-1	-1	-1	-1	2	-1	2	-1	-1	-1	
-1	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	4	-1	2	2	-1	-1	2	3	0	-1	-1	-1	-1	-1	-1	5	-1	1	-1	-1	-1	
2	1	1	2	1	2	-1	1	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	1	3	1	-1	1	-1	1	1	2	
-1	-1	-1	-1	-1	-1	1	-1	-1	-1	2	2	-1	4	4	2	-1	4	3	-1	-1	0	-1	-1	-1	-1	1	-1	5	-1	-1	-1	
2	1	1	2	1	2	-1	1	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	1	3	1	-1	1	-1	1	1	2	
2	2	2	1	1	3	-1	2	2	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	1	-1	1	0	3	1	-1	2	-1	2	2	2	
1	3	2	3	3	4	-1	3	2	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	3	-1	3	3	0	2	-1	3	-1	3	3	1	
1	1	1	1	1	3	-1	2	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	1	2	0	-1	2	-1	2	2	1	
-1	-1	-1	-1	-1	-1	1	-1	-1	-1	1	1	-1	3	3	1	-1	3	2	5	-1	1	-1	-1	-1	-1	0	-1	4	-1	-1	-1	
2	1	1	3	1	3	-1	2	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	2	3	2	-1	0	-1	2	1	2	
-1	-1	-1	-1	-1	-1	4	-1	-1	-1	5	3	-1	1	1	5	-1	1	2	1	-1	5	-1	-1	-1	-1	4	-1	0	-1	-1	-1	
2	1	1	3	1	1	-1	2	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	2	3	2	-1	2	-1	0	1	2	
2	1	1	3	1	2	-1	1	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	2	3	2	-1	1	-1	1	0	2	
1	2	1	2	2	3	-1	2	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	2	-1	2	2	1	1	-1	2	-1	2	2	0	
